Component,Supplier,Source,Cost_GBP,Notes
Cobra 4120/18 KV550 motor,Hobbyking,Reused (workshop),0.00,From workshop inventory
APC 13x8 propeller,APC Propellers,Reused (workshop),0.00,From workshop inventory
SpeedyBee F405 WINGAPP FC,SpeedyBee,Reused (workshop),0.00,From workshop inventory
6S 6000mAh LiPo battery,Hobbyking,New,52.00,Specification incompatible with stocked packs
80A ESC,Hobbyking,New,28.00,Stocked ESCs time-expired
Aileron servos x3,Hobbyking,New,18.00,
Elevator servo,Workshop,Reused (workshop),0.00,From workshop inventory
Payload servo,Workshop,Reused (workshop),0.00,From workshop inventory
GPS module,Workshop,Reused (workshop),0.00,From workshop inventory
Telemetry radio,Workshop,Reused (workshop),0.00,From workshop inventory
Carbon fibre wing rods,Workshop,Reused (workshop),0.00,From workshop inventory
Hardware/fasteners,Various,New,12.00,
